label,date,qbin,mu0,mu0_se_hac,n,r2,mu1,mu2,mu1_se,mu2_se,success,cost
EX:OKX,2025-05-04,Q0.9000_0.9500,9.969478358413995e-06,3.2211710920737473e-06,3127,0.004667047494413601,4.7795878283951825e-05,1.00000017223544e-06,0.00019509723618074137,1.3313410032073916,True,0.0007196852363911515
EX:OKX,2025-05-04,Q0.9500_0.9700,2.6048247487816e-06,3.833382447637419e-06,1306,0.0005605672439944476,1.8241907117580795e-05,0.008726982720582727,0.0005753054660584151,8.760119228493807,True,0.00029034189270288097
EX:OKX,2025-05-04,Q0.9700_0.9900,4.537423324367945e-06,3.220890814796506e-06,1122,0.003069961840887925,3.755042965309581e-05,1.0000000000100748e-06,0.0003775865653631458,2.4351392285521634,True,0.00023710602764375128
EX:OKX,2025-05-05,Q0.8000_0.9000,2.395680931774667e-05,3.5541285769147468e-06,7431,0.011588154295646302,1.5040576901034564e-05,0.7000070390595164,1.4059428916318844e-05,0.3950372943141431,True,0.0017811443366815278
EX:OKX,2025-05-05,Q0.9000_0.9500,1.3700639882160287e-05,2.8392932932935234e-06,4008,0.008871027282356114,6.415988595919496e-05,2.691631653867981e-06,0.00017189968624026293,0.8748772788816965,True,0.0009094769566747844
EX:OKX,2025-05-05,Q0.9500_0.9700,1.102070117919638e-05,3.317334957993073e-06,1560,0.009670816292090212,6.814571622918504e-05,2.856204823933434e-06,0.0005495476676663204,2.236751098421043,True,0.0003584923521480778
EX:OKX,2025-05-05,Q0.9700_0.9900,1.2696433014111814e-05,2.6016025750581974e-06,1423,0.02258789168027686,2.681278920309515e-05,0.3210764893054461,9.217141972755483e-05,0.8242068264648522,True,0.00031770074770685647
EX:OKX,2025-05-06,Q0.8000_0.9000,1.6515221167661107e-05,3.7950966392573465e-06,7654,0.006083891310490586,2.7154537306292325e-05,0.28302662012342755,3.1190082947691e-05,0.5035779047678205,True,0.001629154748010562
EX:OKX,2025-05-06,Q0.9000_0.9500,1.6405971356262677e-05,2.972180106281453e-06,3912,0.013398624225599454,7.844247163324313e-05,1.0000020344927565e-06,0.000170480146535632,0.7073776391518005,True,0.0008468007180099855
EX:OKX,2025-05-06,Q0.9500_0.9700,1.2646966838393277e-05,3.2236294459778533e-06,1524,0.013654895035014492,2.0905636734040713e-06,0.9999989988146932,1.4590783523020246e-05,1.9238048678373125,True,0.00032445362175951615
EX:OKX,2025-05-06,Q0.9700_0.9900,8.150418248775132e-06,2.3066717034036805e-06,1493,0.010051578964158425,1.1915501779658583e-06,0.963742055119643,5.981301183201009e-06,1.1892806393201978,True,0.0003100873165526758
EX:OKX,2025-05-07,Q0.8000_0.9000,1.7548969267123095e-05,3.757209434204731e-06,7247,0.006976484949861472,4.147661776255867e-05,0.12167999226866515,4.497362191608118e-05,0.4830529912655403,True,0.0015031788987652638
EX:OKX,2025-05-07,Q0.9000_0.9500,1.990604571123382e-05,3.3413495005948976e-06,3538,0.019782253781485015,6.931642868907198e-05,0.09695491533649984,0.00013037156336881707,0.6112227388604652,True,0.0007574957785067588
EX:OKX,2025-05-07,Q0.9500_0.9700,1.2451785248198106e-05,3.019130505106855e-06,1714,0.012463320715444204,7.559252000210704e-05,1.2777923004572516e-06,0.0005159429029871368,1.8968042280845536,True,0.00038645471375532497
