label,date,qbin,mu0,mu0_se_hac,n,r2,mu1,mu2,mu1_se,mu2_se,success,cost,M,q_outlier
ALL,2024-01-01,Q0.8000_0.9000,2.913756343304426e-08,4.537799804123017e-10,3000,0.11106854018895718,4.3348473461507367e-07,0.21675881550871182,8.312626065310058e-09,1.7455250314872122e-14,True,2.537310505245634e-09,1,0.999
ALL,2024-01-01,Q0.9000_0.9500,2.081563888830157e-08,4.206991608783664e-10,1600,0.061818716697632614,4.2967079047704654e-07,0.214755488338068,1.1948735573802714e-08,2.531510186672983e-14,True,1.5173028762985733e-09,1,0.999
EX:SYNX,2024-01-01,Q0.8000_0.9000,2.168027768589728e-07,4.435420993361036e-09,1600,0.061007081440972444,2.2379256675721236e-06,0.11299128243557427,1.8563507781681725e-05,1.7152326671153213,True,7.442137367087043e-08,5,0.995
EX:SYNY,2024-01-01,Q0.8000_0.9000,4.370193420908945e-07,5.710329953207045e-09,1600,0.24985377620257443,2.8280131575097534e-06,0.14351385022673604,1.4344183207135945e-05,1.0470954806374029,True,5.869001237037947e-08,5,0.995
ALL,2024-01-01,Q0.8000_0.9000,1.4568781716386302e-07,2.268899902063124e-09,3000,0.11106854018683376,1.2186774792196848e-06,0.12371001284536214,6.6808887987102304e-06,1.1317227236944558,True,3.285864598430499e-08,5,0.995
ALL,2024-01-01,Q0.9000_0.9500,1.0407819444137912e-07,2.10349580439064e-09,1600,0.06181871669774874,1.1276187733360663e-06,0.11420444327765217,6.878696954411837e-08,3.8245956198249e-13,True,1.8654980421957534e-08,5,0.995
EX:SYNX,2024-01-01,Q0.8000_0.9000,2.168027768589728e-07,4.435420993361036e-09,1600,0.061007081440972444,2.2379256675721236e-06,0.11299128243557427,1.8563507781681725e-05,1.7152326671153213,True,7.442137367087043e-08,5,0.9975
EX:SYNY,2024-01-01,Q0.8000_0.9000,4.370193420908945e-07,5.710329953207045e-09,1600,0.24985377620257443,2.8280131575097534e-06,0.14351385022673604,1.4344183207135945e-05,1.0470954806374029,True,5.869001237037947e-08,5,0.9975
ALL,2024-01-01,Q0.8000_0.9000,1.4568781716386302e-07,2.268899902063124e-09,3000,0.11106854018683376,1.2186774792196848e-06,0.12371001284536214,6.6808887987102304e-06,1.1317227236944558,True,3.285864598430499e-08,5,0.9975
ALL,2024-01-01,Q0.9000_0.9500,1.0407819444137912e-07,2.10349580439064e-09,1600,0.06181871669774874,1.1276187733360663e-06,0.11420444327765217,6.878696954411837e-08,3.8245956198249e-13,True,1.8654980421957534e-08,5,0.9975
EX:SYNX,2024-01-01,Q0.8000_0.9000,2.168027768589728e-07,4.435420993361036e-09,1600,0.061007081440972444,2.2379256675721236e-06,0.11299128243557427,1.8563507781681725e-05,1.7152326671153213,True,7.442137367087043e-08,5,0.999
