date,next_date,ccy,available,active,reason_unavailable,s5_lend,s5_fund,spread,ret_equity,ret_notional,pnl_usd,lend_pnl_usd,lend_pnl_rates,lend_pnl_fx,debt_cost_usd,debt_cost_interest,debt_cost_fx
2020-11-04,2020-11-11,BRL,1,1,,0.05245022222222222,-0.0001866339102502033,0.05263685613247242,0.2596000787803312,0.05192001575606624,519200.15756066237,688019.6507396679,55064.00156011805,632955.6491795499,168819.49317900557,851.8461538460106,167967.64702515956
2020-11-04,2020-11-11,NGN,0,0,missing_curve,,-0.0001866339102502033,,,,0.0,,,,,,
2020-11-04,2020-11-11,PKR,0,0,no_1y_5y_coverage,,-0.0001866339102502033,,,,0.0,,,,,,
2020-11-04,2020-11-11,TRY,0,0,no_1y_5y_coverage,,-0.0001866339102502033,,,,0.0,,,,,,
2020-11-04,2020-11-11,ZAR,0,0,no_1y_5y_coverage,,-0.0001866339102502033,,,,0.0,,,,,,
2020-11-11,2020-11-18,BRL,1,1,,0.05153611111111111,0.0009532002656918651,0.05058291084541924,0.07676549827361712,0.015353099654723425,153530.99654723424,157322.78357151337,-6417.273488000035,163740.0570595134,3791.787024279125,851.538461538963,2940.248562740162
2020-11-11,2020-11-18,NGN,0,0,missing_curve,,0.0009532002656918651,,,,0.0,,,,,,
2020-11-11,2020-11-18,PKR,0,0,no_1y_5y_coverage,,0.0009532002656918651,,,,0.0,,,,,,
2020-11-11,2020-11-18,TRY,0,0,no_1y_5y_coverage,,0.0009532002656918651,,,,0.0,,,,,,
2020-11-11,2020-11-18,ZAR,0,0,no_1y_5y_coverage,,0.0009532002656918651,,,,0.0,,,,,,
2020-11-18,2020-11-25,BRL,1,1,,0.05200411111111111,0.0006862169292542196,0.05131789418185689,-0.07409378546974203,-0.014818757093948405,-148187.57093948405,-100024.08314843848,-14740.329801438376,-85283.7533470001,48163.48779104557,852.0,47311.48779104557
2020-11-18,2020-11-25,NGN,0,0,missing_curve,,0.0006862169292542196,,,,0.0,,,,,,
2020-11-18,2020-11-25,PKR,0,0,no_1y_5y_coverage,,0.0006862169292542196,,,,0.0,,,,,,
2020-11-18,2020-11-25,TRY,0,0,no_1y_5y_coverage,,0.0006862169292542196,,,,0.0,,,,,,
2020-11-18,2020-11-25,ZAR,0,0,no_1y_5y_coverage,,0.0006862169292542196,,,,0.0,,,,,,
2020-11-25,2020-12-02,BRL,1,1,,0.05266177777777778,0.0005987061099376556,0.052063071667840126,0.21609078965646447,0.0432181579312929,432181.57931292895,473824.769169176,146976.96527391486,326847.80389526114,41643.189856247045,851.538461538963,40791.65139470808
2020-11-25,2020-12-02,NGN,0,0,missing_curve,,0.0005987061099376556,,,,0.0,,,,,,
2020-11-25,2020-12-02,PKR,0,0,no_1y_5y_coverage,,0.0005987061099376556,,,,0.0,,,,,,
2020-11-25,2020-12-02,TRY,0,0,no_1y_5y_coverage,,0.0005987061099376556,,,,0.0,,,,,,
2020-11-25,2020-12-02,ZAR,0,0,no_1y_5y_coverage,,0.0005987061099376556,,,,0.0,,,,,,
2020-12-02,2020-12-09,BRL,1,1,,0.04970911111111111,0.0007648506928160072,0.048944260418295096,0.1292542919691312,0.025850858393826243,258508.58393826243,237183.57732693478,69077.2369621396,168106.34036479518,-21325.00661132764,849.6923076910898,-22174.69891901873
2020-12-02,2020-12-09,NGN,0,0,missing_curve,,0.0007648506928160072,,,,0.0,,,,,,
2020-12-02,2020-12-09,PKR,0,0,no_1y_5y_coverage,,0.0007648506928160072,,,,0.0,,,,,,
2020-12-02,2020-12-09,TRY,0,0,entry_par_check_failed,0.1231,0.0007648506928160072,0.12233514930718399,,,0.0,,,,,,
2020-12-02,2020-12-09,ZAR,0,0,no_1y_5y_coverage,,0.0007648506928160072,,,,0.0,,,,,,
2020-12-09,2020-12-16,BRL,1,1,,0.04848011111111111,0.00016789244890420596,0.048312218662206904,-0.06187773242133949,-0.012375546484267898,-123755.46484267898,-70934.22183283046,-144225.7694933433,73291.54766051285,52821.24300984852,848.3076923089102,51972.93531753961
2020-12-09,2020-12-16,NGN,0,0,missing_curve,,0.00016789244890420596,,,,0.0,,,,,,
2020-12-09,2020-12-16,PKR,0,0,no_1y_5y_coverage,,0.00016789244890420596,,,,0.0,,,,,,
2020-12-09,2020-12-16,TRY,1,1,,0.13419999999999999,0.00016789244890420596,0.1340321075510958,0.029732312970962377,0.005946462594192475,59464.62594192475,112285.86895177327,122565.21027979255,-10279.341328019276,52821.24300984852,848.3076923089102,51972.93531753961
