date,ccy,pv_entry,abs_err,min_tenor,max_tenor
2023-01-04,PKR,1.0,0.0,1.0,10.0
2023-01-11,BRL,1.0,0.0,1.0,10.0
2023-01-11,PKR,1.0,0.0,1.0,10.0
2023-01-18,BRL,1.0,0.0,1.0,10.0
2023-01-18,PKR,1.0,0.0,1.0,10.0
2023-01-25,BRL,1.0,0.0,1.0,10.0
2023-01-25,PKR,1.0,0.0,1.0,10.0
2023-01-25,TRY,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2023-02-01,BRL,1.0,0.0,1.0,10.0
2023-02-01,PKR,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2023-02-01,TRY,1.0,0.0,1.0,10.0
2023-02-08,BRL,1.0,0.0,1.0,10.0
2023-02-08,PKR,1.0,0.0,1.0,10.0
2023-02-08,TRY,1.0,0.0,1.0,10.0
2023-02-15,BRL,1.0,0.0,1.0,10.0
2023-02-15,PKR,1.0,0.0,1.0,10.0
2023-02-15,TRY,1.0,0.0,1.0,10.0
2023-02-22,BRL,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2023-02-22,PKR,1.0,0.0,1.0,10.0
2023-02-22,TRY,0.9999999999999998,2.220446049250313e-16,1.0,10.0
2023-03-01,BRL,1.0,0.0,1.0,10.0
2023-03-01,PKR,,,1.0,5.0
2023-03-01,TRY,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2023-03-08,BRL,1.0,0.0,1.0,10.0
2023-03-08,PKR,,,1.0,5.0
2023-03-08,TRY,1.0,0.0,1.0,10.0
2023-03-15,BRL,1.0,0.0,1.0,10.0
2023-03-15,PKR,,,1.0,5.0
2023-03-15,TRY,1.0,0.0,1.0,10.0
2023-03-22,BRL,1.0,0.0,1.0,10.0
2023-03-22,PKR,,,1.0,5.0
2023-03-22,TRY,1.0,0.0,1.0,10.0
2023-03-29,BRL,1.0,0.0,1.0,10.0
2023-03-29,PKR,,,1.0,5.0
2023-03-29,TRY,1.0,0.0,1.0,10.0
2023-04-05,BRL,1.0,0.0,1.0,10.0
2023-04-05,PKR,,,1.0,5.0
2023-04-05,TRY,1.0,0.0,1.0,10.0
2023-04-12,BRL,1.0,0.0,1.0,10.0
2023-04-12,PKR,,,1.0,5.0
2023-04-12,TRY,1.0,0.0,1.0,10.0
2023-04-19,BRL,1.0,0.0,1.0,10.0
2023-04-19,PKR,,,1.0,5.0
2023-04-19,TRY,1.0,0.0,1.0,10.0
2023-04-26,BRL,1.0,0.0,1.0,10.0
2023-04-26,PKR,,,1.0,5.0
2023-05-03,BRL,1.0,0.0,1.0,10.0
2023-05-03,PKR,,,1.0,5.0
2023-05-10,BRL,1.0,0.0,1.0,10.0
2023-05-10,PKR,,,1.0,5.0
2023-05-17,BRL,1.0,0.0,1.0,10.0
2023-05-24,BRL,1.0,0.0,1.0,10.0
2023-05-31,BRL,1.0,0.0,1.0,10.0
2023-06-07,BRL,1.0,0.0,1.0,10.0
2023-06-14,BRL,1.0,0.0,1.0,10.0
2023-06-21,BRL,1.0,0.0,1.0,10.0
2023-06-28,BRL,1.0,0.0,1.0,10.0
2023-06-28,TRY,1.0,0.0,1.0,10.0
2023-07-05,BRL,1.0,0.0,1.0,10.0
2023-07-05,TRY,1.0,0.0,1.0,10.0
2023-07-12,BRL,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2023-07-12,TRY,1.0,0.0,1.0,10.0
2023-07-19,BRL,1.0,0.0,1.0,10.0
2023-07-19,TRY,1.0,0.0,1.0,10.0
2023-07-26,BRL,1.0,0.0,1.0,10.0
2023-07-26,TRY,1.0,0.0,1.0,10.0
2023-08-02,BRL,1.0,0.0,1.0,10.0
2023-08-02,TRY,1.0,0.0,1.0,10.0
2023-08-09,BRL,1.0,0.0,1.0,10.0
2023-08-09,TRY,1.0,0.0,1.0,10.0
2023-08-16,BRL,1.0,0.0,1.0,10.0
2023-08-16,TRY,1.0,0.0,1.0,10.0
2023-08-23,BRL,1.0,0.0,1.0,10.0
2023-08-23,TRY,1.0,0.0,1.0,10.0
2023-08-30,BRL,1.0,0.0,1.0,10.0
2023-08-30,TRY,1.0,0.0,1.0,10.0
2023-09-06,BRL,1.0,0.0,1.0,10.0
2023-09-06,TRY,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2023-09-13,BRL,1.0,0.0,1.0,10.0
2023-09-13,TRY,1.0,0.0,1.0,10.0
2023-09-20,BRL,1.0,0.0,1.0,10.0
2023-09-20,TRY,1.0,0.0,1.0,10.0
2023-09-27,BRL,1.0,0.0,1.0,10.0
2023-09-27,TRY,1.0,0.0,1.0,10.0
2023-10-04,BRL,1.0,0.0,1.0,10.0
2023-10-04,TRY,1.0,0.0,1.0,10.0
2023-10-11,BRL,1.0,0.0,1.0,10.0
2023-10-18,BRL,1.0,0.0,1.0,10.0
2023-10-25,BRL,1.0,0.0,1.0,10.0
2023-11-01,BRL,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
